node_id,cluster_id
0,19
1,18
2,0
3,15
4,15
5,15
6,15
7,37
8,19
9,15
10,37
11,20
12,19
13,15
14,37
15,1
16,2
17,19
18,20
19,3
20,37
21,19
22,27
23,20
24,15
25,15
26,18
27,37
28,37
29,15
30,37
31,4
32,15
33,35
34,37
35,37
36,19
37,15
38,20
39,15
40,20
41,19
42,37
43,37
44,20
45,20
46,19
47,18
48,15
49,18
50,37
51,19
52,37
53,20
54,5
55,15
56,15
57,37
58,15
59,35
60,15
61,15
62,15
63,20
64,6
65,44
66,7
67,20
68,37
69,20
70,37
71,20
72,20
73,19
74,19
75,8
76,15
77,19
78,35
79,15
80,19
81,15
82,19
83,37
84,19
85,37
86,15
87,20
88,9
89,37
90,19
91,20
92,20
93,35
94,18
95,19
96,37
97,19
98,19
99,15
100,19
101,19
102,10
103,15
104,20
105,18
106,37
107,37
108,19
109,18
110,20
111,45
112,37
113,15
114,11
115,37
116,10
117,15
118,20
119,20
120,15
121,20
122,20
123,19
124,15
125,15
126,20
127,20
128,37
129,15
130,37
131,15
132,20
133,37
134,15
135,19
136,19
137,15
138,19
139,20
140,12
141,19
142,43
143,31
144,20
145,15
146,8
147,20
148,19
149,37
150,19
151,15
152,39
153,37
154,37
155,19
156,20
157,13
158,14
159,26
160,15
161,15
162,19
163,16
164,37
165,19
166,37
167,15
168,18
169,19
170,17
171,20
172,37
173,15
174,18
175,19
176,12
177,19
178,18
179,15
180,35
181,15
182,19
183,15
184,37
185,15
186,20
187,19
188,18
189,43
190,19
191,37
192,35
193,37
194,18
195,15
196,37
197,15
198,15
199,20
200,15
201,15
202,15
203,19
204,15
205,20
206,25
207,19
208,20
209,15
210,15
211,19
212,15
213,20
214,35
215,37
216,20
217,15
218,15
219,19
220,15
221,37
222,15
223,19
224,15
225,15
226,20
227,5
228,15
229,15
230,15
231,35
232,20
233,20
234,18
235,19
236,20
237,21
238,20
239,18
240,15
241,19
242,35
243,18
244,35
245,29
246,37
247,20
248,19
249,19
250,37
251,19
252,19
253,37
254,15
255,15
256,22
257,20
258,20
259,19
260,15
261,15
262,20
263,35
264,15
265,20
266,20
267,15
268,20
269,15
270,19
271,19
272,15
273,19
274,37
275,15
276,19
277,20
278,23
279,19
280,37
281,37
282,15
283,24
284,19
285,37
286,15
287,20
288,19
289,37
290,20
291,25
292,19
293,37
294,19
295,37
296,15
297,15
298,40
299,20
300,19
301,26
302,15
303,15
304,15
305,37
306,37
307,37
308,15
309,37
310,19
311,15
312,19
313,19
314,27
315,15
316,20
317,15
318,35
319,28
320,15
321,15
322,15
323,19
324,19
325,15
326,20
327,19
328,7
329,29
330,20
331,19
332,15
333,15
334,19
335,15
336,37
337,19
338,20
339,37
340,15
341,19
342,20
343,20
344,20
345,15
346,35
347,18
348,19
349,37
350,15
351,19
352,20
353,20
354,4
355,20
356,9
357,20
358,37
359,20
360,19
361,15
362,19
363,43
364,18
365,37
366,15
367,19
368,15
369,30
370,20
371,15
372,19
373,20
374,15
375,19
376,15
377,20
378,20
379,37
380,20
381,37
382,37
383,19
384,28
385,19
386,19
387,11
388,37
389,15
390,20
391,37
392,19
393,20
394,15
395,20
396,15
397,20
398,15
399,15
400,15
401,37
402,27
403,15
404,20
405,35
406,20
407,15
408,18
409,20
410,20
411,20
412,20
413,31
414,15
415,37
416,15
417,15
418,20
419,14
420,15
421,15
422,20
423,19
424,32
425,19
426,20
427,20
428,37
429,37
430,19
431,19
432,37
433,18
434,37
435,19
436,37
437,15
438,33
439,37
440,19
441,15
442,15
443,15
444,43
445,18
446,35
447,38
448,20
449,20
450,20
451,20
452,15
453,18
454,15
455,34
456,37
457,15
458,19
459,20
460,20
461,15
462,20
463,19
464,27
465,15
466,18
467,15
468,20
469,34
470,20
471,25
472,18
473,20
474,15
475,13
476,20
477,19
478,15
479,37
480,15
481,18
482,20
483,37
484,36
485,15
486,19
487,15
488,15
489,21
490,37
491,35
492,34
493,19
494,35
495,15
496,15
497,18
498,19
499,20
500,20
501,15
502,20
503,15
504,20
505,37
506,19
507,15
508,19
509,15
510,18
511,37
512,20
513,37
514,19
515,18
516,20
517,20
518,20
519,15
520,19
521,37
522,15
523,37
524,20
525,20
526,15
527,15
528,15
529,20
530,37
531,20
532,37
533,19
534,18
535,19
536,20
537,15
538,37
539,15
540,15
541,15
542,15
543,20
544,19
545,20
546,35
547,20
548,41
549,37
550,15
551,19
552,37
553,15
554,15
555,19
556,20
557,46
558,37
559,18
560,37
561,15
562,37
563,19
564,15
565,37
566,19
567,15
568,15
569,20
570,15
571,37
572,37
573,37
574,20
575,19
576,15
577,20
578,19
579,15
580,37
581,15
582,19
583,35
584,1
585,37
586,19
587,19
588,18
589,20
590,19
591,15
592,30
593,3
594,15
595,20
596,15
597,15
598,15
599,20
600,35
601,2
602,20
603,37
604,15
605,19
606,19
607,20
608,32
609,37
610,20
611,15
612,20
613,15
614,18
615,20
616,37
617,15
618,36
619,19
620,20
621,15
622,20
623,37
624,15
625,15
626,15
627,37
628,15
629,38
630,19
631,15
632,35
633,37
634,20
635,18
636,15
637,37
638,39
639,37
640,37
641,37
642,23
643,20
644,20
645,20
646,15
647,15
648,15
649,19
650,20
651,15
652,15
653,19
654,19
655,20
656,37
657,20
658,19
659,37
660,20
661,18
662,15
663,15
664,40
665,20
666,37
667,15
668,20
669,41
670,20
671,18
672,15
673,37
674,19
675,15
676,20
677,22
678,19
679,20
680,15
681,19
682,20
683,37
684,20
685,15
686,37
687,19
688,33
689,20
690,15
691,19
692,15
693,37
694,37
695,7
696,15
697,37
698,15
699,20
700,37
701,18
702,20
703,20
704,37
705,15
706,19
707,15
708,15
709,27
710,18
711,15
712,19
713,19
714,19
715,19
716,19
717,15
718,19
719,15
720,15
721,20
722,20
723,18
724,37
725,15
726,18
727,19
728,15
729,37
730,15
731,19
732,20
733,19
734,19
735,19
736,20
737,19
738,18
739,15
740,20
741,15
742,43
743,19
744,20
745,19
746,19
747,37
748,19
749,15
750,15
751,15
752,19
753,17
754,19
755,19
756,15
757,15
758,20
759,20
760,37
761,19
762,19
763,15
764,19
765,15
766,18
767,15
768,15
769,19
770,18
771,34
772,37
773,18
774,15
775,15
776,20
777,15
778,20
779,19
780,20
781,37
782,15
783,20
784,24
785,37
786,15
787,35
788,18
789,19
790,18
791,19
792,0
793,37
794,15
795,20
796,20
797,20
798,16
799,15
800,19
801,19
802,15
803,19
804,19
805,15
806,37
807,15
808,20
809,15
810,15
811,20
812,42
813,15
814,20
815,15
816,15
817,37
818,37
819,19
820,35
821,37
822,35
823,15
824,6
825,37
826,37
827,35
828,20
829,15
830,15
831,20
832,20
833,43
834,15
835,4
836,37
837,15
838,37
839,18
840,37
841,19
842,20
843,43
844,19
845,19
846,20
847,20
848,18
849,44
850,20
851,15
852,6
853,45
854,20
855,37
856,19
857,20
858,37
859,19
860,19
861,37
862,15
863,19
864,15
865,42
866,35
867,37
868,15
869,37
870,15
871,37
872,18
873,19
874,35
875,37
876,18
877,15
878,15
879,20
880,19
881,35
882,15
883,46
884,15
885,37
886,18
887,15
888,37
889,19
890,37
891,15
892,4
893,35
894,15
895,19
896,37
897,15
898,20
899,20
900,19
901,37
902,20
903,18
904,15
905,37
